code,name,price,change_pct,pe_ttm,pb,mcap_yi
002039,黔源电力,20.83,2.51,13.97,2.04,89.06
600566,济川药业,26.37,-2.69,13.99,1.62,242.22
002517,恺英网络,14.18,-2.34,13.99,2.99,267.87
603508,思维列控,21.71,-1.68,14.03,2.09,82.77
600662,外服控股,4.17,-3.92,14.04,1.76,94.93
601216,君正集团,5.04,-1.18,14.05,1.42,425.28
300181,佐力药业,13.08,-2.32,14.11,2.88,78.86
002120,韵达股份,6.52,-0.76,14.13,0.89,183.55
688009,中国通号,4.87,-1.81,14.14,1.08,419.84
002448,中原内配,11.94,-1.89,14.15,1.79,69.31
002444,巨星科技,30.4,-1.3,14.16,1.9,348.61
000951,中国重汽,21.95,-1.7,14.18,1.55,256.59
000513,丽珠集团,31.38,0.42,14.19,1.92,178.28
002318,久立特材,22.03,-0.68,14.21,2.64,210.32
601702,华峰铝业,16.82,-4.7,14.25,2.63,167.95
002233,塔牌集团,7.49,-2.73,14.28,0.76,87.88
001965,招商公路,9.76,-0.51,14.32,0.95,663.2
000755,山西高速,4.6,-2.13,14.35,1.2,67.5
002128,电投能源,28.53,1.82,14.38,1.79,639.52
603259,药明康德,97.07,0.03,14.39,3.64,2400.81
003013,地铁设计,15.01,-2.21,14.39,2.05,60.03
002734,利民股份,15.25,-0.46,14.4,1.87,66.24
603055,台华新材,8.09,-1.58,14.41,1.37,71.76
002437,誉衡药业,2.66,-1.85,14.41,2.48,55.86
603100,川仪股份,18.05,-0.93,14.44,1.98,92.33
603367,辰欣药业,13.03,-1.51,14.44,0.94,58.99
002284,亚太股份,10.4,-1.79,14.45,2.19,76.15
601199,江南水务,5.58,-0.89,14.47,1.11,52.18
688101,三达膜,17.45,0.0,14.47,1.3,57.94
603599,广信股份,10.43,-2.71,14.53,0.93,94.94
000157,中联重科,7.29,-1.22,14.55,1.08,515.38
603233,大参林,16.45,0.0,14.56,2.44,187.34
688526,科前生物,12.18,-1.46,14.57,1.41,56.77
603111,康尼机电,6.03,-1.79,14.59,1.26,51.43
000963,华东医药,29.13,1.78,14.59,2.07,510.65
603939,益丰药房,20.82,-1.47,14.6,2.12,252.42
600079,ST人福,17.03,-1.28,14.61,1.43,262.8
000333,美的集团,85.35,1.73,14.7,2.8,5856.92
002014,永新股份,10.56,0.86,14.7,2.69,63.64
601872,招商轮船,14.42,-1.37,14.72,2.58,1164.35
001914,招商积余,9.39,-1.37,14.8,0.9,98.94
600270,外运发展,20.99,0.0,14.81,2.25,190.06
600886,国投电力,13.77,1.03,14.83,1.6,1026.44
600285,XD羚锐制,20.65,-1.2,14.84,3.87,116.85
600170,上海建工,2.37,-2.07,14.86,0.67,210.6
600295,鄂尔多斯,13.6,4.13,14.87,1.69,268.68
000088,盐 田 港,4.22,-0.47,14.87,1.19,133.47
002244,滨江集团,9.33,1.86,14.88,0.96,257.28
601339,百隆东方,7.2,0.0,14.89,1.15,107.97
603128,华贸物流,5.27,-2.23,14.9,1.09,68.99
002984,森麒麟,14.02,-3.11,14.93,1.07,100.09
688578,艾力斯,80.2,-1.27,14.95,4.83,360.9
600988,赤峰黄金,28.26,0.32,14.97,3.93,470.22
603515,欧普照明,18.36,-0.49,14.99,1.91,135.19
600216,浙江医药,11.74,-1.34,15.03,1.0,111.69
300850,新强联,28.97,-1.29,15.05,1.71,87.14
603153,上海建科,13.67,-2.5,15.09,1.44,55.2
002563,森马服饰,5.55,0.36,15.11,1.32,122.49
002096,易普力,8.96,-4.78,15.12,1.37,111.14
600480,凌云股份,9.58,-2.44,15.14,1.49,116.22
600426,华鲁恒升,26.7,-0.22,15.16,1.66,564.72
002895,川恒股份,31.2,2.83,15.16,2.7,185.63
000567,海德股份,5.5,-4.68,15.19,1.78,107.17
600660,福耀玻璃,52.41,-1.21,15.21,3.8,1049.77
002293,罗莱生活,10.12,3.58,15.22,2.11,83.69
601038,一拖股份,11.48,-0.95,15.27,1.57,84.0
603899,晨光股份,22.17,-0.36,15.27,2.37,203.03
603013,亚普股份,16.89,-2.37,15.3,1.93,85.84
600941,中国移动,95.97,-1.34,15.32,1.46,866.39
601808,XD中海油,12.24,1.32,15.33,1.27,362.36
002073,软控股份,5.35,-2.55,15.33,0.86,54.25
